Employee_ID,title_clean,cluster,Cluster_Label,Individual_Skills,Skills_String,Skills_Count,Similar_Employee_1,Similar_Employee_1_Score,Similar_Employee_2,Similar_Employee_2_Score,Similar_Employee_3,Similar_Employee_3_Score
EMP_0001,Finance Manager,6,Financial Reporting & Accounting (Controllership),"['Engineering/Maintenance', 'Supply Chain', 'Audit/SOX', 'Tax/Transfer Pricing', 'Finance/Reporting']","Engineering/Maintenance, Supply Chain, Audit/SOX, Tax/Transfer Pricing, Finance/Reporting",5,EMP_0259,0.919200003,EMP_0283,0.918299973,EMP_0029,0.910600007
EMP_0002,Senior Process Engineer,5,Process Engineering,"['Excel', 'Engineering/Maintenance', 'Safety/EHS']","Excel, Engineering/Maintenance, Safety/EHS",3,EMP_0013,0.96420002,EMP_0007,0.957499981,EMP_0149,0.920700014
EMP_0003,HR Advisor,7,HR Operations,"['Engineering/Maintenance', 'HR/Payroll']","Engineering/Maintenance, HR/Payroll",2,EMP_0039,0.975000024,EMP_0404,0.928799987,EMP_0387,0.921800017
EMP_0004,IE Engineer,10,Engineering (Electrical / Instrumentation & Controls),"['Engineering/Maintenance', 'Safety/EHS', 'Project Management']","Engineering/Maintenance, Safety/EHS, Project Management",3,EMP_0008,0.986000001,EMP_0016,0.976999998,EMP_0014,0.976599991
EMP_0005,Technical Manager,5,Process Engineering,"['Engineering/Maintenance', 'Safety/EHS', 'Project Management']","Engineering/Maintenance, Safety/EHS, Project Management",3,EMP_0155,0.923699975,EMP_0013,0.906499982,EMP_0106,0.905900002
EMP_0006,Emergency Services Advisor,16,Process Safety,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS, Supply Chain",4,EMP_0022,0.875999987,EMP_0012,0.84890002,EMP_0019,0.848699987
EMP_0007,Lead Process Engineer,5,Process Engineering,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0002,0.957499981,EMP_0013,0.95389998,EMP_0153,0.932799995
EMP_0008,IE Engineer,10,Engineering (Electrical / Instrumentation & Controls),"['Engineering/Maintenance', 'Safety/EHS', 'Project Management']","Engineering/Maintenance, Safety/EHS, Project Management",3,EMP_0004,0.986000001,EMP_0016,0.980199993,EMP_0014,0.979600012
EMP_0009,Product Handler,8,Plant Operations & HSE / Shift & Lab Support,"['Excel', 'Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","Excel, Engineering/Maintenance, Safety/EHS, Supply Chain",4,EMP_0015,0.998199999,EMP_0035,0.984899998,EMP_0129,0.870599985
EMP_0010,Pipefitter Technician,10,Engineering (Electrical / Instrumentation & Controls),"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0050,0.869000018,EMP_0032,0.856599987,EMP_0064,0.852900028
EMP_0011,Supervisor Finance Asia,6,Financial Reporting & Accounting (Controllership),"['Oracle/ERP', 'Audit/SOX', 'Tax/Transfer Pricing']","Oracle/ERP, Audit/SOX, Tax/Transfer Pricing",3,EMP_0030,0.961700022,EMP_0047,0.914900005,EMP_0261,0.901600003
EMP_0012,Process Safety Engineer,16,Process Safety,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",3,EMP_0019,0.999599993,EMP_0013,0.915899992,EMP_0340,0.906799972
EMP_0013,Process Engineer IV,5,Process Engineering,"['Excel', 'Engineering/Maintenance', 'Safety/EHS']","Excel, Engineering/Maintenance, Safety/EHS",3,EMP_0002,0.96420002,EMP_0007,0.95389998,EMP_0073,0.924199998
EMP_0014,IE Engineer,10,Engineering (Electrical / Instrumentation & Controls),"['Engineering/Maintenance', 'Safety/EHS', 'Project Management']","Engineering/Maintenance, Safety/EHS, Project Management",3,EMP_0016,0.999599993,EMP_0052,0.987200022,EMP_0008,0.979600012
EMP_0015,Product Handler,8,Plant Operations & HSE / Shift & Lab Support,"['Excel', 'Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","Excel, Engineering/Maintenance, Safety/EHS, Supply Chain",4,EMP_0009,0.998199999,EMP_0035,0.985300004,EMP_0129,0.86559999
EMP_0016,IE Engineer,10,Engineering (Electrical / Instrumentation & Controls),"['Engineering/Maintenance', 'Safety/EHS', 'Project Management']","Engineering/Maintenance, Safety/EHS, Project Management",3,EMP_0014,0.999599993,EMP_0052,0.987900019,EMP_0008,0.980199993
EMP_0017,TAR Procurement Specialist,23,Mechanical Maintenance Planning,"['Engineering/Maintenance', 'Supply Chain', 'Audit/SOX']","Engineering/Maintenance, Supply Chain, Audit/SOX",3,EMP_0036,0.880200028,EMP_0051,0.869199991,EMP_0020,0.862100005
